,period,region,contract,customers(household),usage(kWh),rate(Won),avg_rate(Won/kWh),export_volume,export_value,import_volume,import_value,trade_balance,mean_temp(℃),avg_max_temp(℃),avg_min_temp(℃),precipitation(mm)
0,2004-01-01,Gangwon,street lights,51355,11647239,712511444,61.2,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
1,2004-01-01,Gangwon,educational,1039,11847642,1021374690,86.2,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
2,2004-01-01,Gangwon,agricultural,40059,17349852,816797449,47.1,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
3,2004-01-01,Gangwon,industrial,8237,442547402,24749405151,55.9,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
4,2004-01-01,Gangwon,midnight,64442,269186840,8028797103,29.8,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
5,2004-01-01,Gangwon,general,91802,213125620,20120952683,94.4,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
6,2004-01-01,Gangwon,residential,467094,132499756,14712138653,111,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
7,2004-01-01,Gangwon,total,724028,1098204351,70161977173,63.9,1190,37995,1038,36555,1440,-3.4,2.3,-8.4,162.2
8,2004-01-01,Gyeonggi,street lights,92113,49399422,3030646160,61.3,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
9,2004-01-01,Gyeonggi,educational,2852,52520383,4719923170,89.9,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
10,2004-01-01,Gyeonggi,agricultural,130255,94065773,4264198123,45.3,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
11,2004-01-01,Gyeonggi,industrial,83717,2606587136,1.63E+11,62.7,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
12,2004-01-01,Gyeonggi,midnight,131851,576785648,17253434317,29.9,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
13,2004-01-01,Gyeonggi,general,419338,1211112102,1.13E+11,93.4,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
14,2004-01-01,Gyeonggi,residential,2099600,943287152,1.09E+11,115.8,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
15,2004-01-01,Gyeonggi,total,2959726,5533757616,4.15E+11,75,72477,2962430,71473,3140694,-178264,-3.8,2.1,-8.9,79.7
16,2004-01-01,Gyeongnam,street lights,71062,13813504,842558338,61,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
17,2004-01-01,Gyeongnam,educational,1380,14391607,1327916406,92.3,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
18,2004-01-01,Gyeongnam,agricultural,90392,79441212,3304099219,41.6,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
19,2004-01-01,Gyeongnam,industrial,26866,1088461417,68817214718,63.2,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
20,2004-01-01,Gyeongnam,midnight,66856,179772348,5371341854,29.9,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
21,2004-01-01,Gyeongnam,general,144896,295077264,28952848556,98.1,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
22,2004-01-01,Gyeongnam,residential,907351,257114534,28478965884,110.8,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
23,2004-01-01,Gyeongnam,total,1308803,1928071886,1.37E+11,71.1,27223,2578789,18674,1008438,1570351,1,7.4,-4.3,10.2
24,2004-01-01,Gyeongbuk,street lights,51165,15476545,931540845,60.2,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
25,2004-01-01,Gyeongbuk,educational,1354,23116605,1924071872,83.2,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
26,2004-01-01,Gyeongbuk,agricultural,184501,59714940,2702737610,45.3,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
27,2004-01-01,Gyeongbuk,industrial,21734,1851599974,1.03E+11,55.7,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
28,2004-01-01,Gyeongbuk,midnight,51959,182550886,5457693078,29.9,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
29,2004-01-01,Gyeongbuk,general,135894,244809072,24454510179,99.9,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
30,2004-01-01,Gyeongbuk,residential,869518,212357337,22420934826,105.6,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
31,2004-01-01,Gyeongbuk,total,1316125,2589625359,1.61E+11,62.2,26826,2424212,23973,1513638,910574,-1,4.8,-5.8,276.9
32,2004-01-01,Gwangju,street lights,15617,5620162,341735570,60.8,7290,313025,4437,203272,109754,0,5.1,-3.8,14
33,2004-01-01,Gwangju,educational,380,12230390,1067028759,87.2,7290,313025,4437,203272,109754,0,5.1,-3.8,14
34,2004-01-01,Gwangju,agricultural,7565,3305314,144689139,43.8,7290,313025,4437,203272,109754,0,5.1,-3.8,14
35,2004-01-01,Gwangju,industrial,3987,143017231,9107989215,63.7,7290,313025,4437,203272,109754,0,5.1,-3.8,14
36,2004-01-01,Gwangju,midnight,9714,42008979,1259516753,30,7290,313025,4437,203272,109754,0,5.1,-3.8,14
37,2004-01-01,Gwangju,general,65951,162461231,15403626868,94.8,7290,313025,4437,203272,109754,0,5.1,-3.8,14
38,2004-01-01,Gwangju,residential,311610,121056774,13561980510,112,7290,313025,4437,203272,109754,0,5.1,-3.8,14
39,2004-01-01,Gwangju,total,414824,489700081,40886566814,83.5,7290,313025,4437,203272,109754,0,5.1,-3.8,14
40,2004-01-01,Daegu,street lights,22275,9472295,603305941,63.7,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
41,2004-01-01,Daegu,educational,598,13179659,1165249812,88.4,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
42,2004-01-01,Daegu,agricultural,8063,3874202,177873710,45.9,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
43,2004-01-01,Daegu,industrial,18231,455145602,29018498077,63.8,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
44,2004-01-01,Daegu,midnight,18083,53447600,1605352400,30,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
45,2004-01-01,Daegu,general,119416,266935936,25560608851,95.8,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
46,2004-01-01,Daegu,residential,572381,223350208,24794222700,111,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
47,2004-01-01,Daegu,total,759047,1025405502,82925111491,80.9,10187,210326,5011,129958,80368,0.8,6,-3.3,1.2
48,2004-01-01,Daejeon,street lights,2925,6239472,381843190,61.2,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
49,2004-01-01,Daejeon,educational,416,16728689,1345982234,80.5,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
50,2004-01-01,Daejeon,agricultural,4164,1791640,83396189,46.5,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
51,2004-01-01,Daejeon,industrial,4037,180669015,10671625879,59.1,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
52,2004-01-01,Daejeon,midnight,16919,62301330,1893278103,30.4,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
53,2004-01-01,Daejeon,general,61003,207001997,19313197524,93.3,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
54,2004-01-01,Daejeon,residential,314489,129762259,14577995708,112.3,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
55,2004-01-01,Daejeon,total,403953,604494402,48267318827,79.8,3065,121888,3609,146237,-24349,-0.5,4.8,-4.8,10.9
56,2004-01-01,Busan,street lights,55516,12033467,733855526,61,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
57,2004-01-01,Busan,educational,924,23639579,2139542436,90.5,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
58,2004-01-01,Busan,agricultural,6577,6707031,280246481,41.8,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
59,2004-01-01,Busan,industrial,20063,494166542,32657056747,66.1,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
60,2004-01-01,Busan,midnight,20559,80023005,2393633805,29.9,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
61,2004-01-01,Busan,general,155116,396546890,37232946499,93.9,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
62,2004-01-01,Busan,residential,867435,328518021,37990416794,115.6,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
63,2004-01-01,Busan,total,1126190,1341634535,1.13E+11,84.5,18865,412050,13871,472203,-60153,2.8,7.9,-0.8,1.4
64,2004-01-01,Seoul,street lights,11803,36406682,2193071403,60.2,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
65,2004-01-01,Seoul,educational,1923,70487974,5864749238,83.2,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
66,2004-01-01,Seoul,agricultural,2953,2278398,94969477,41.7,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
67,2004-01-01,Seoul,industrial,48520,499956957,33261385816,66.5,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
68,2004-01-01,Seoul,midnight,31309,76783301,2388218757,31.1,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
69,2004-01-01,Seoul,general,463223,1573783111,1.44E+11,91.2,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
70,2004-01-01,Seoul,residential,2398791,997774344,1.20E+11,120.2,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
71,2004-01-01,Seoul,total,2958522,3257470767,3.07E+11,94.3,78843,2430602,120024,3652840,-1222238,-1.5,2.1,-4.9,19.8
72,2004-01-01,Ulsan,street lights,16414,4067154,245732010,60.4,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
73,2004-01-01,Ulsan,educational,306,4554125,437855594,96.1,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
74,2004-01-01,Ulsan,agricultural,5606,4357815,186441101,42.8,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
75,2004-01-01,Ulsan,industrial,4332,1467299108,76565837426,52.2,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
76,2004-01-01,Ulsan,midnight,6943,32589373,976056199,30,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
77,2004-01-01,Ulsan,general,48744,111346697,10794921216,96.9,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
78,2004-01-01,Ulsan,residential,237315,93462042,10778729093,115.3,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
79,2004-01-01,Ulsan,total,319660,1717676314,99985572639,58.2,11456,3028721,7720,2198029,830692,2.4,7.6,-1.8,10.7
80,2004-01-01,Incheon,street lights,17873,9975757,620229923,62.2,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
81,2004-01-01,Incheon,educational,707,11532316,1034574265,89.7,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
82,2004-01-01,Incheon,agricultural,11934,4466627,199342436,44.6,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
83,2004-01-01,Incheon,industrial,15773,926415343,55812157861,60.2,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
84,2004-01-01,Incheon,midnight,19514,77353624,2314075472,29.9,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
85,2004-01-01,Incheon,general,101180,265956522,25090173258,94.3,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
86,2004-01-01,Incheon,residential,620509,231214583,26384964716,114.1,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
87,2004-01-01,Incheon,total,787490,1526914772,1.11E+11,73,18806,749566,15156,999091,-249525,-2.2,1.9,-5.8,41.4
88,2004-01-01,Jeonnam,street lights,41913,13520181,781992633,57.8,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
89,2004-01-01,Jeonnam,educational,1269,10868845,1018353821,93.7,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
90,2004-01-01,Jeonnam,agricultural,135835,96151803,4018175433,41.8,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
91,2004-01-01,Jeonnam,industrial,12818,921775626,50206591613,54.5,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
92,2004-01-01,Jeonnam,midnight,36180,118486972,3540441367,29.9,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
93,2004-01-01,Jeonnam,general,95205,160502840,16180394487,100.8,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
94,2004-01-01,Jeonnam,residential,652491,150444285,16038521568,106.6,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
95,2004-01-01,Jeonnam,total,975711,1471750552,91784470922,62.4,7047,863650,3004,1072765,-209114,1.6,6.1,-2.1,104.4
96,2004-01-01,Jeonbuk,street lights,27503,11384148,664459421,58.4,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
97,2004-01-01,Jeonbuk,educational,977,14611612,1256711065,86,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
98,2004-01-01,Jeonbuk,agricultural,64490,32180810,1483091706,46.1,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
99,2004-01-01,Jeonbuk,industrial,9932,594519856,33494622701,56.3,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
100,2004-01-01,Jeonbuk,midnight,55228,170603555,5095095859,29.9,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
101,2004-01-01,Jeonbuk,general,90336,173943296,17295026169,99.4,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
102,2004-01-01,Jeonbuk,residential,536013,155234646,16959951785,109.3,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
103,2004-01-01,Jeonbuk,total,784479,1152477923,76248958706,66.2,4038,294694,3588,187960,106734,-1.7,4.1,-6.6,126.1
104,2004-01-01,Jeju,street lights,2534,3064619,180388715,58.9,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
105,2004-01-01,Jeju,educational,239,3338915,310768684,93.1,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
106,2004-01-01,Jeju,agricultural,26808,54400903,2237665079,41.1,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
107,2004-01-01,Jeju,industrial,2264,25896257,1813470838,70,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
108,2004-01-01,Jeju,midnight,6445,20911948,627138760,30,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
109,2004-01-01,Jeju,general,32192,69267095,6963702077,100.5,196,4148,245,6805,-2657,1,7.4,-4.3,10.2
