period,State,Sales,Price
7/1/2022,AK,463329.29,21.22
7/1/2022,AL,8938806.8,12.78
7/1/2022,AR,5160967.7,10.82
7/1/2022,AZ,9748582.7,11.98
7/1/2022,CA,24142722,24.19
7/1/2022,CO,5747802.5,12.51
7/1/2022,CT,2740154.8,19.89
7/1/2022,DC,1040394.7,15.24
7/1/2022,DE,1157938.9,12.05
7/1/2022,FL,26809271,12.63
7/1/2022,GA,14766050,14.83
7/1/2022,HI,789203.2,41.48
7/1/2022,IA,5049246,11.98
7/1/2022,ID,2879640.9,9.04
7/1/2022,IL,13443050,13.28
7/1/2022,IN,9486906.7,12.32
7/1/2022,KS,4393539.8,12.6
7/1/2022,KY,7268839.6,11.37
7/1/2022,LA,9495174.5,11.75
7/1/2022,MA,4887657.9,20.45
7/1/2022,MD,5996868.2,13.4
7/1/2022,ME,953103.28,17.82
7/1/2022,MI,9729781.4,13.68
7/1/2022,MN,6166900.5,12.85
7/1/2022,MO,8259832.8,12.49
7/1/2022,MS,5095415.9,10.58
7/1/2022,MT,1254636.2,9.48
7/1/2022,NC,14142164,10.18
7/1/2022,ND,2068911.7,8.69
7/1/2022,NE,3244982.6,9.78
7/1/2022,NH,1055026.2,18.94
7/1/2022,NJ,8351250.7,15.87
7/1/2022,NM,2719251.6,11.31
7/1/2022,NV,4621021.3,11.58
7/1/2022,NY,13801722,19.47
7/1/2022,OH,14359160,11.74
7/1/2022,OK,7480281.5,11.34
7/1/2022,OR,4669912,9.2
7/1/2022,PA,13503826,12.64
7/1/2022,RI,786652.11,17.33
7/1/2022,SC,8634954,11.84
7/1/2022,SD,1196953.9,11.08
7/1/2022,TN,10489722,12.01
7/1/2022,TX,45245550,11.21
7/1/2022,UT,3563466.1,9.43
7/1/2022,VA,12950497,11.39
7/1/2022,VT,489741.75,17.17
7/1/2022,WA,7078569.9,8.88
7/1/2022,WI,6566112.6,12.34
7/1/2022,WV,2856462.7,10.13
7/1/2022,WY,1408821.8,8.51
6/1/2022,AK,452165.03,21.22
6/1/2022,AL,8284510.6,12.38
6/1/2022,AR,4324647.4,10.43
6/1/2022,AZ,8699689.5,11.81
6/1/2022,CA,21462555,23.83
6/1/2022,CO,4940301.1,12.24
6/1/2022,CT,2281628.3,21.49
6/1/2022,DC,922710.64,14.81
6/1/2022,DE,988133.79,11.39
6/1/2022,FL,24584330,12.53
6/1/2022,GA,13610961,14.53
6/1/2022,HI,739223.49,40.52
6/1/2022,IA,4580306.9,11.4
6/1/2022,ID,2239016.1,9.18
6/1/2022,IL,12370957,13.03
6/1/2022,IN,8795791.6,12.04
6/1/2022,KS,3889055.3,12.14
6/1/2022,KY,6622346,11.19
6/1/2022,LA,9133934.1,10.39
6/1/2022,MA,4018187.1,20.64
6/1/2022,MD,5053606.3,13.45
6/1/2022,ME,871462.39,18.84
6/1/2022,MI,8857373,13.5
6/1/2022,MN,5498846.5,12.89
6/1/2022,MO,7164801.1,12.19
6/1/2022,MS,4611760,10.73
6/1/2022,MT,1160039.3,9.09
6/1/2022,NC,12624025,9.81
6/1/2022,ND,1938879.3,8.89
6/1/2022,NE,2872032,9.39
6/1/2022,NH,870399.71,19.07
6/1/2022,NJ,6514287.8,15.64
6/1/2022,NM,2493255.5,10.32
6/1/2022,NV,3948020.6,10.77
6/1/2022,NY,11840321,19.01
6/1/2022,OH,13148501,11.21
6/1/2022,OK,6456291.6,10.87
6/1/2022,OR,4026301.7,9.05
6/1/2022,PA,11876771,12.12
6/1/2022,RI,531453.89,18.84
6/1/2022,SC,7713057,11.45
6/1/2022,SD,1047131.9,11.09
6/1/2022,TN,8987570.6,11.1
6/1/2022,TX,42434024,10.59
6/1/2022,UT,2904712.9,9.11
6/1/2022,VA,10618297,10.73
6/1/2022,VT,430026.04,17.12
6/1/2022,WA,6646904.2,8.81
